Jogadores,Nacionalidade,Posição,Idade,Desarmes,Desarmes que Geram Posse,Desarmes no Terço Defensivo,Desarmes no Terço Central,Desarmes no Terço Ofensivo,Desarmes de Dribladores,Tentativas de Desarme de Drible,Desarmes Perdidos,Bloqueios,Chutes Bloqueados,Passes Bloqueados,Interceptação,Afastamentos,Erros que Geram Chute,Temporada
Luka Modrić,Cróacia,Meio Campista,35,33,19,13,13,7,13,47,34,15,5,10,41,14,0,2022
Toni Kroos,Alemanha,Meio Campista,31,57,46,22,30,5,21,58,37,22,5,17,20,16,1,2022
Federico Valverde,Uruguai,"Meio Campista, Atacante",23,56,29,20,24,12,19,50,31,40,7,33,35,25,0,2022
Ferland Mendy,França,Defensor,26,35,24,18,14,3,16,23,7,18,5,13,25,46,3,2022
Dani Carvajal,Espanha,Defensor,29,59,41,32,20,7,24,50,26,40,18,22,33,67,2,2022
Nacho,Espanha,Defensor,31,28,23,16,11,1,20,33,13,29,20,9,49,66,0,2022
Lucas Vázquez,Espanha,"Defensor, Atacante",30,54,36,28,13,13,22,44,22,30,8,22,23,47,1,2022
Rodrygo,Brasil,"Atacante, Meio Campista",20,26,21,10,5,11,7,29,22,27,2,25,26,8,0,2022
Marco Asensio,Espanha,"Atacante, Meio Campista",25,16,10,6,7,3,5,23,18,8,1,7,15,7,1,2022
Eduardo Camavinga,França,Meio Campista,18,66,46,25,28,13,25,52,27,27,3,24,21,20,1,2022
Eden Hazard,Bélgica,Atacante,30,7,4,3,3,1,4,10,6,4,0,4,2,0,0,2022
Marcelo,Brasil,Defensor,33,10,9,2,3,5,6,11,5,7,2,5,5,13,0,2022
Luka Jović,Sérvia,Atacante,23,1,1,0,1,0,0,1,1,3,0,3,1,4,0,2022
Isco,Espanha,"Atacante, Meio Campista",29,9,6,4,4,1,5,12,7,1,0,1,2,1,0,2022
Mariano,República Dominicana,Atacante,27,2,0,2,0,0,0,0,0,2,0,2,1,3,0,2022
Andriy Lunin,Ucrânia,Goleiro,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022
Jesús Vallejo,Espanha,Defensor,24,7,5,7,0,0,5,6,1,9,8,1,7,17,0,2022
Dani Ceballos,Espanha,"Meio Campista, Atacante",24,12,6,7,5,0,3,11,8,8,2,6,5,3,0,2022
Miguel Gutiérrez,Espanha,Defensor,20,8,5,6,0,2,4,6,2,0,0,0,2,2,0,2022
Gareth Bale,País de Gales,Atacante,32,2,1,1,0,1,1,4,3,2,0,2,2,1,0,2022
Antonio Blanco,Espanha,Meio Campista,21,2,0,1,1,0,0,0,0,1,1,0,1,0,0,2022
Peter González,República Dominicana,"Meio Campista, Defensor",19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2022
Mario Gila,Espanha,Defensor,20,1,0,1,0,0,0,1,1,0,0,0,1,1,0,2022
Sergio Santos,Espanha,Defensor,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Juanmi Latasa,Espanha,Atacante,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Thibaut Courtois,Bélgica,Goleiro,28,0,0,0,0,0,0,2,2,1,0,1,1,21,2,2021
Casemiro,Brasil,Meio Campista,28,107,65,61,42,4,41,98,57,68,20,48,91,74,0,2021
Karim Benzema,França,Atacante,32,16,8,5,7,4,7,18,11,12,3,9,10,26,0,2021
Luka Modrić,Cróacia,Meio Campista,34,50,30,26,20,4,21,62,41,17,4,13,66,15,1,2021
Raphaël Varane,França,Defensor,27,33,18,24,7,2,12,23,11,31,21,10,50,146,3,2021
Ferland Mendy,França,Defensor,25,39,23,24,11,4,20,41,21,23,5,18,40,46,2,2021
Toni Kroos,Alemanha,Meio Campista,30,61,30,25,23,13,20,70,50,37,8,29,36,13,3,2021
Lucas Vázquez,Espanha,"Defensor, Atacante",29,77,52,36,30,11,31,75,44,24,1,23,28,40,1,2021
Nacho,Espanha,Defensor,30,45,22,25,16,4,23,56,33,27,10,17,52,78,0,2021
Vinicius Júnior,Brasil,Atacante,20,43,31,18,14,11,15,54,39,38,1,37,8,7,0,2021
Marco Asensio,Espanha,Atacante,24,18,12,9,5,4,6,31,25,20,0,20,16,10,0,2021
Federico Valverde,Uruguai,"Meio Campista, Defensor",22,38,26,14,10,14,16,38,22,26,3,23,40,8,0,2021
Sergio Ramos,Espanha,Defensor,34,17,14,10,6,1,8,13,5,14,7,7,27,49,1,2021
Éder Militão,Brasil,Defensor,22,40,20,25,12,3,16,26,10,30,12,18,29,60,0,2021
Marcelo,Brasil,Defensor,32,30,26,11,9,10,15,28,13,14,1,13,11,15,0,2021
Rodrygo,Brasil,"Atacante, Meio Campista",19,22,8,15,6,1,6,26,20,20,0,20,9,6,0,2021
Dani Carvajal,Espanha,Defensor,28,30,21,12,10,8,13,22,9,22,1,21,15,28,0,2021
Isco,Espanha,"Atacante, Meio Campista",28,15,9,6,6,3,4,18,14,9,1,8,6,3,0,2021
Álvaro Odriozola,Espanha,Defensor,24,18,10,8,9,1,4,6,2,7,3,4,7,13,1,2021
Eden Hazard,Bélgica,Atacante,29,3,2,1,2,0,0,3,3,3,0,3,5,0,0,2021
Mariano,República Dominicana,Atacante,26,4,2,2,1,1,0,10,10,4,1,3,0,3,0,2021
Martin Ødegaard,Noruega,Meio Campista,21,3,1,0,2,1,3,6,3,1,0,1,1,1,0,2021
Miguel Gutiérrez,Espanha,"Defensor, Meio Campista",19,4,0,0,3,1,1,7,6,3,0,3,5,5,0,2021
Antonio Blanco,Espanha,Meio Campista,20,7,2,4,2,1,3,7,4,6,2,4,3,5,0,2021
Víctor Chust,Espanha,Defensor,20,1,1,0,1,0,0,2,2,2,2,0,3,5,0,2021
Luka Jović,Sérvia,Atacante,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2021
