Jogador,Nacionalidade,Posição,Idade,Cartões Amarelos,Cartões Vermelhos,2° Cartões Amarelos,Faltas Cometidas,Faltas Sofridas,Impedimentos,Cruzamentos,Interceptações,Desarmes Ganhos,Pênaltis Convertidos,Pênaltis Cometidos,Gols Contras,Bolas Perdidas Recuperadas,Duelos Aéreos Ganhos,Duelos Aéreos Perdidos,Temporada
Lucas Vázquez,Espanha,"Defensor, Atacante",29,5,0,0,54,59,4,144,28,52,0,1,0,163,13,17,2021
Nacho,Espanha,Defensor,30,10,0,0,47,36,3,25,52,22,1,1,0,123,44,42,2021
Vinicius Júnior,Brasil,Atacante,20,4,0,0,40,69,13,55,8,31,2,1,0,121,4,13,2021
Marco Asensio,Espanha,Atacante,24,2,0,0,10,38,7,128,16,12,0,0,0,119,10,13,2021
Federico Valverde,Uruguai,"Meio Campista, Defensor",22,3,0,0,19,13,3,31,40,26,0,0,0,101,17,11,2021
Sergio Ramos,Espanha,Defensor,34,4,0,0,24,9,2,2,27,14,1,1,0,108,43,22,2021
Éder Militão,Brasil,Defensor,22,4,1,0,19,18,0,4,29,20,0,1,0,93,40,16,2021
Marcelo,Brasil,Defensor,32,4,0,0,15,18,4,69,11,26,0,1,0,74,5,18,2021
Rodrygo,Brasil,"Atacante, Meio Campista",19,0,0,0,18,30,2,38,9,8,0,0,0,58,6,23,2021
Dani Carvajal,Espanha,Defensor,28,5,0,0,18,10,0,32,15,21,0,1,0,70,15,9,2021
Isco,Espanha,"Atacante, Meio Campista",28,1,0,0,21,25,1,37,6,9,0,0,0,54,7,15,2021
Álvaro Odriozola,Espanha,Defensor,24,2,0,0,7,7,1,47,7,10,0,0,0,38,2,8,2021
Eden Hazard,Bélgica,Atacante,29,0,0,0,4,30,3,6,5,2,0,0,0,25,2,11,2021
Mariano,República Dominicana,Atacante,26,1,0,0,16,6,15,0,0,2,0,0,0,12,22,16,2021
Martin Ødegaard,Noruega,Meio Campista,21,0,0,0,1,1,0,13,1,1,0,0,0,14,1,4,2021
Miguel Gutiérrez,Espanha,"Defensor, Meio Campista",19,0,0,0,6,7,1,19,5,0,0,0,0,23,6,4,2021
Antonio Blanco,Espanha,Meio Campista,20,0,0,0,6,2,0,2,3,2,0,0,0,14,0,5,2021
Víctor Chust,Espanha,Defensor,20,0,0,0,2,2,0,0,3,1,0,0,0,7,3,2,2021
Luka Jović,Sérvia,Atacante,22,0,0,0,3,1,2,1,0,0,0,0,0,1,3,5,2021
Sergio Arribas,Espanha,Atacante,18,1,0,0,2,2,2,1,4,1,0,0,0,12,2,4,2021
Marvin,Espanha,Atacante,20,0,0,0,1,5,0,4,2,2,0,0,0,5,3,1,2021
Andriy Lunin,Ucrânia,Goleiro,21,1,0,0,0,0,0,0,0,0,,,0,,,,2021
Hugo Duro,Espanha,Atacante,20,0,0,0,2,1,0,0,0,1,0,0,0,2,1,5,2021
Borja Mayoral,Espanha,Atacante,23,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2021
Casemiro,Brasil,Meio Campista,27,14,0,0,98,86,4,32,84,80,0,0,0,357,112,72,2020
Karim Benzema,França,Atacante,31,0,0,0,24,18,35,26,9,12,0,0,0,79,40,47,2020
Thibaut Courtois,Bélgica,Goleiro,27,2,0,0,0,4,0,0,3,0,0,0,0,66,6,0,2020
Raphaël Varane,França,Defensor,26,3,0,0,25,14,1,3,47,25,0,0,0,191,94,49,2020
Sergio Ramos,Espanha,Defensor,33,10,1,0,60,34,8,3,73,38,1,1,0,237,81,56,2020
Dani Carvajal,Espanha,Defensor,27,13,0,0,57,39,3,144,47,60,1,1,0,231,30,44,2020
Toni Kroos,Alemanha,Meio Campista,29,3,0,0,38,55,3,189,34,44,1,0,0,208,12,14,2020
Federico Valverde,Uruguai,Meio Campista,21,4,1,0,37,15,0,26,37,28,0,0,0,135,31,20,2020
Luka Modrić,Cróacia,Meio Campista,33,11,1,0,42,41,2,72,30,23,1,0,0,161,13,27,2020
