Jogador,Nacionalidade,Posição,Idade,Ações Criadoras de Chute,Passes p/ Chute (Jogo Corrido),Passes p/ Chute (Bola Parada),Dribles Criadores de Chute,Chutes Criadores de Novo Chute,Faltas Sofridas p/ Chute,Recuperações para Chute,Ações Criadoras de Gol,Temporada
Casemiro,Brasil,Meio Campista,28,69,62,0,0,3,3,1,11,2021
Karim Benzema,França,Atacante,32,127,101,0,11,13,2,0,20,2021
Luka Modrić,Cróacia,Meio Campista,34,135,107,14,7,2,2,3,15,2021
Raphaël Varane,França,Defensor,27,20,18,0,0,2,0,0,0,2021
Ferland Mendy,França,Defensor,25,66,55,0,3,1,7,0,1,2021
Toni Kroos,Alemanha,Meio Campista,30,169,94,60,1,8,4,2,17,2021
Lucas Vázquez,Espanha,"Defensor, Atacante",29,114,100,0,4,3,6,1,11,2021
Nacho,Espanha,Defensor,30,29,23,1,2,1,2,0,5,2021
Vinicius Júnior,Brasil,Atacante,20,94,67,0,13,4,8,2,11,2021
Marco Asensio,Espanha,Atacante,24,82,60,9,4,4,4,1,9,2021
Federico Valverde,Uruguai,"Meio Campista, Defensor",22,63,54,0,2,4,2,1,6,2021
Sergio Ramos,Espanha,Defensor,34,14,10,0,0,3,1,0,2,2021
Éder Militão,Brasil,Defensor,22,13,13,0,0,0,0,0,4,2021
Marcelo,Brasil,Defensor,32,47,37,2,5,3,0,0,4,2021
Rodrygo,Brasil,"Atacante, Meio Campista",19,51,39,0,6,2,3,1,11,2021
Dani Carvajal,Espanha,Defensor,28,22,18,0,2,1,0,1,5,2021
Isco,Espanha,"Atacante, Meio Campista",28,48,35,6,2,5,0,0,3,2021
Álvaro Odriozola,Espanha,Defensor,24,17,15,0,0,0,2,0,1,2021
Eden Hazard,Bélgica,Atacante,29,26,17,1,3,2,2,1,4,2021
Mariano,República Dominicana,Atacante,26,12,6,0,1,5,0,0,1,2021
Martin Ødegaard,Noruega,Meio Campista,21,15,12,3,0,0,0,0,1,2021
Miguel Gutiérrez,Espanha,"Defensor, Meio Campista",19,8,5,1,0,0,2,0,1,2021
Antonio Blanco,Espanha,Meio Campista,20,5,5,0,0,0,0,0,0,2021
Víctor Chust,Espanha,Defensor,20,1,1,0,0,0,0,0,0,2021
Luka Jović,Sérvia,Atacante,22,4,2,0,0,1,1,0,0,2021
Sergio Arribas,Espanha,Atacante,18,5,5,0,0,0,0,0,2,2021
Marvin,Espanha,Atacante,20,2,1,1,0,0,0,0,1,2021
Andriy Lunin,Ucrânia,Goleiro,21,,,,,,,,,2021
Hugo Duro,Espanha,Atacante,20,1,1,0,0,0,0,0,0,2021
Borja Mayoral,Espanha,Atacante,23,0,0,0,0,0,0,0,0,2021
Casemiro,Brasil,Meio Campista,27,89,72,1,3,7,1,5,8,2020
Karim Benzema,França,Atacante,31,153,128,0,14,9,2,0,20,2020
Thibaut Courtois,Bélgica,Goleiro,27,2,1,0,0,1,0,0,1,2020
Raphaël Varane,França,Defensor,26,17,10,3,1,3,0,0,2,2020
Sergio Ramos,Espanha,Defensor,33,27,23,0,1,1,2,0,2,2020
Dani Carvajal,Espanha,Defensor,27,105,90,6,3,3,3,0,9,2020
Toni Kroos,Alemanha,Meio Campista,29,165,95,51,6,6,5,2,12,2020
Federico Valverde,Uruguai,Meio Campista,21,61,55,0,2,2,0,2,8,2020
Luka Modrić,Cróacia,Meio Campista,33,113,87,11,5,4,4,2,20,2020
Ferland Mendy,França,Defensor,24,52,42,1,4,0,3,2,7,2020
Marcelo,Brasil,Defensor,31,75,65,1,5,2,2,0,10,2020
Vinicius Júnior,Brasil,Atacante,19,71,49,0,12,6,4,0,8,2020
Isco,Espanha,"Meio Campista, Atacante",27,58,44,1,2,5,4,2,9,2020
Eden Hazard,Bélgica,Atacante,28,79,61,0,9,3,6,0,12,2020
Éder Militão,Brasil,Defensor,21,6,4,1,0,0,1,0,0,2020
Rodrygo,Brasil,Atacante,18,49,39,2,2,1,4,1,7,2020
Gareth Bale,País de Gales,"Atacante, Meio Campista",30,41,26,2,5,4,4,0,7,2020
Lucas Vázquez,Espanha,"Atacante, Meio Campista",28,40,30,3,1,1,5,0,5,2020
Luka Jović,Sérvia,Atacante,21,11,8,0,1,2,0,0,2,2020
Alphonse Areola,França,Goleiro,26,0,0,0,0,0,0,0,0,2020
James Rodríguez,Colômbia,Meio Campista,28,26,20,4,0,0,2,0,1,2020
Nacho,Espanha,Defensor,29,8,8,0,0,0,0,0,0,2020
Álvaro Odriozola,Espanha,Defensor,23,13,8,2,2,0,1,0,2,2020
Marco Asensio,Espanha,Atacante,23,12,9,0,2,1,0,0,1,2020
Brahim Díaz,Marrocos,Atacante,19,1,0,0,0,0,1,0,0,2020
Mariano,República Dominicana,"Atacante, Meio Campista",25,1,1,0,0,0,0,0,0,2020
Karim Benzema,França,Atacante,30,139,101,1,15,16,5,1,16,2019
Raphaël Varane,França,Defensor,25,15,10,0,0,5,0,0,1,2019
Sergio Ramos,Espanha,Defensor,32,31,24,1,1,3,1,1,5,2019
Luka Modrić,Cróacia,Meio Campista,32,146,110,13,9,7,3,4,14,2019
Toni Kroos,Alemanha,Meio Campista,28,169,91,66,7,1,3,1,12,2019
Casemiro,Brasil,Meio Campista,26,67,49,0,3,8,6,1,5,2019
Thibaut Courtois,Bélgica,Goleiro,26,3,2,1,0,0,0,0,0,2019
Dani Carvajal,Espanha,Defensor,26,76,68,1,4,2,1,0,6,2019
